year,Net
1990,254159.2211
1991,281385.5253
1992,310216.9541
1993,346994.152
1994,369637.16
1995,401626.6678
1996,434432.7187
1997,461298.0841
1998,382505.5031
1999,412334.4732
2000,442635.7351
2001,456469.1168
2002,481101.1682
2003,491936.6703
2004,498765.4611
2005,505161.0965
2006,509455.9762
2007,522071.0537
2008,534495.4289
2009,538470.5269
2010,599016.3944
2011,628553.1186
2012,637740.4591
2013,650683.8509
2014,644902.0978
2015,644769.2334
2016,645467.1697
2017,667721.0017
2018,684683.6421
2019,661493.553
2020,616558.8974
2021,638881.5876
